id,name,posteam
00-0032104,A.Abdullah,"CAR, DET, MIN"
00-0000129,A.Aldridge,DET
00-0000003,A.al-Jabbar,"CLE, IND, MIA"
00-0028163,A.Allen,BAL
00-0028565,A.Allen,CHI
00-0025533,A.Allison,MIN
00-0030789,A.Andrews,TEN
00-0033296,A.Armah,"CAR, NO"
00-0026465,A.Armstrong,WAS
00-0023459,"Aa.Rodgers, A.Rodgers",GB
00-0035602,A.Bachman,NYG
00-0035061,A.Bars,CHI
00-0022064,A.Battle,SF
00-0034959,A.Beck,DEN
00-0027654,A.Benn,TB
00-0029050,A.Blake,TEN
00-0031075,A.Blue,HOU
00-0022084,A.Boldin,"ARI, BAL, SF"
00-0028125,A.Bradford,TB
00-0025637,A.Bradshaw,"IND, NYG"
00-0036171,A.Brewer,TEN
00-0001823,A.Brooks,"LV, NO"
00-0021425,A.Brown,"BUF, WAS"
00-0027094,A.Brown,"DEN, NYG"
00-0027129,A.Brown,DET
00-0027793,A.Brown,"NE, PIT, TB"
00-0035676,A.Brown,TEN
00-0021191,A.Bryant,"CLE, DAL, TB"
00-0026237,A.Caldwell,"CIN, DEN"
00-0034772,A.Callaway,CLE
00-0002713,"A.Carter, T.Carter","DEN, NE"
00-0019794,A.Cason,"DAL, DET, LA"
00-0019997,A.Chatman,"CIN, GB"
00-0021528,A.Cobourne,DET
00-0035190,A.Cole,LV
00-0027092,A.Collie,IND
00-0032426,A.Collins,"BAL, SEA"
00-0003378,A.Connell,"NO, WAS"
00-0031544,A.Cooper,"DAL, LV"
00-0003610,A.Craver,NO
00-0024234,A.Cromartie,NYJ
00-0027973,A.Dalton,"CHI, CIN, DAL"
00-0028957,A.Davis,"CLE, LA, SEA"
00-0021175,"A.Davis, Andre' Davis","CLE, NE"
00-0004200,A.Denson,"CHI, IND, MIA"
00-0036265,A.Dillon,GB
00-0027772,A.Dixon,"BUF, SF"
00-0035021,A.Dulin,IND
00-0022883,"A.Echemandu, J.Echemandu","CLE, HOU"
00-0027692,A.Edwards,"CAR, CLE"
00-0033699,A.Ekeler,LAC
00-0030287,A.Ellington,"ARI, HOU"
00-0032543,A.Erickson,CIN
00-0020305,A.Feeley,"LA, MIA, PHI"
00-0026796,A.Foster,"HOU, MIA"
00-0005562,A.Freeman,GB
00-0036340,A.Gandy-Golden,WAS
00-0036328,A.Gibson,WAS
00-0006197,A.Graham,ARI
00-0006305,A.Green,"GB, HOU, SEA"
00-0027942,A.Green,CIN
00-0028034,A.Green,"GB, NYJ"
00-0021385,A.Gurode,DAL
00-0006627,A.Hakim,"DET, LA"
00-0023764,A.Hall,DEN
00-0024489,A.Hall,TEN
00-0021750,A.Harris,"DET, LA"
00-0031830,A.Harris,GB
00-0007093,A.Hastings,NO
00-0027918,A.Hawkins,"CIN, CLE"
00-0023714,A.Haynes,CAR
00-0027713,A.Hernandez,NE
00-0029657,A.Hicks,CHI
00-0035632,A.Hooker,TEN
00-0032009,A.Humphries,"TB, TEN"
00-0031743,A.Hunt,"HOU, KC"
00-0035125,A.Ingold,LV
00-0035527,A.Isabella,ARI
00-0033878,A.Jackson,TEN
00-0032956,A.Janovich,"CLE, DEN"
00-0029137,A.Jeffery,"CHI, PHI"
00-0029654,A.Jenkins,KC
00-0024398,A.Jennings,ATL
00-0008430,A.Johnson,"CAR, JAX"
00-0022044,A.Johnson,HOU
00-0022079,A.Johnson,"ARI, DAL"
00-0029729,A.Johnson,NO
00-0023441,A.Jones,TEN
00-0033293,A.Jones,GB
00-0033906,A.Kamara,NO
00-0036000,A.Killins,PHI
00-0025576,A.Koets,NYG
00-0034521,A.Lazard,GB
00-0009738,A.Lee,"LA, PHI"
00-0022824,A.Lee,"ARI, SF"
00-0021152,A.Lelie,DEN
00-0027539,A.Levine,BAL
00-0027027,A.Levitre,BUF
00-0027346,"Alf.Smith, A.Smith","ARI, SF"
00-0029668,A.Luck,IND
00-0010194,A.Lynn,DEN
00-0026997,A.Mack,"ATL, CLE, SF"
00-0021921,A.Madise,DEN
00-0034972,A.Mattison,MIN
00-0031288,A.McCarron,"CIN, HOU, LV"
00-0010717,"A. McCollum, A.McCollum",LA
00-0036336,A.McFarland,PIT
00-0019510,A.Merritt,CHI
00-0034353,A.Miller,CHI
00-0029141,A.Morris,"ARI, DAL, NYG, SF, WAS"
00-0032406,A.Morrison,IND
00-0036991,Am.Rodgers,GB
00-0011869,A.Murrell,"ARI, DAL, WAS"
00-0020403,"An.Thomas, A.Thomas","BUF, CHI, DAL, NO"
00-0023561,A.Pearman,JAX
00-0021306,A.Peterson,CHI
00-0025394,A.Peterson,"ARI, DET, MIN, NO, SEA, TEN, WAS"
00-0028016,A.Pettis,LA
00-0036208,A.Pierce,CHI
00-0022006,A.Pinner,"ATL, DET, MIN"
00-0021936,A.Pinnock,LAC
00-0025494,A.Pittman,LA
00-0025488,A.Podlesh,"CHI, JAX"
00-0036727,A.Prentice,NO
00-0021190,"A. Randle El, A.Randle El","PIT, WAS"
00-0031958,A.Reiter,"KC, MIA"
00-0018588,A.Ricard,BAL
00-0031612,A.Ripkowski,GB
00-0027691,A.Roberts,"ARI, BUF, LAC, NYJ, WAS"
00-0028116,A.Robinson,WAS
00-0031428,"A.Robinson, A.Robinson II",CHI
00-0023443,A.Rolle,ARI
00-0014071,A.Rossum,"ATL, GB, SF"
00-0028706,"Ar.Smith, A.Smith","CAR, CLE"
00-0030550,A.Sanders,JAX
00-0023950,A.Schable,ARI
00-0036999,A.Schwartz,CLE
00-0027914,A.Sendejo,MIN
00-0028074,A.Sherman,"ARI, KC"
00-0015082,A.Smith,CIN
00-0015091,A.Smith,"BUF, NE, NO, TEN"
00-0023436,A.Smith,"KC, SF, WAS"
00-0026855,A.Smith,"ATL, CHI, TB"
00-0015601,A.Stecker,"ATL, NO, TB"
00-0022788,A.Stepanovich,CIN
00-0033916,A.Stewart,NYJ
00-0029623,A.Tanney,"NYG, TEN"
00-0030035,A.Thielen,MIN
00-0016550,A.Toomer,NYG
00-0016838,A.Van Pelt,BUF
00-0016919,A.Vinatieri,NE
00-0023504,A.Walter,LV
00-0035187,A.Walter,"NYJ, SF"
00-0017611,A.Whitted,"JAX, LV"
00-0031055,A.Williams,"LAC, NYG"
00-0036188,A.Williams,BUF
00-0030669,A.Wilson,"KC, MIA"
00-0035378,A.Wingard,JAX
00-0018272,A.Wright,"BAL, CIN, DAL, NYG"
00-0025955,A.Young,MIN
00-0018501,A.Zereoue,"LV, NE, PIT"
00-0032482,B.Addison,CHI
00-0036261,B.Aiyuk,SF
00-0032434,B.Allen,"CIN, DEN"
00-0034804,B.Allen,LA
00-0029692,B.Anger,"DAL, HOU, JAX, TB"
00-0022003,B.Askew,"NYJ, TB"
00-0027618,B.Banks,WAS
00-0000727,B.Banta,DET
00-0000754,B.Barker,"JAX, WAS"
00-0000838,B.Bartholomew,CHI
00-0023859,B.Basanez,CAR
00-0028170,B.Batch,PIT
00-0032062,B.Bell,"DAL, KC"
00-0001098,B.Bennett,"CAR, CIN"
00-0023158,B.Berlin,LA
00-0022807,B.Berrian,"CHI, MIN"
00-0034419,B.Berrios,NYJ
00-0029239,B.Bolden,"MIA, NE"
00-0026607,B.Bolen,JAX
00-0022026,B.Bollinger,"DAL, MIN, NYJ"
00-0031407,B.Bortles,"JAX, LA"
00-0001611,B.Boyer,CLE
00-0034281,B.Bozeman,BAL
00-0001785,B.Brister,"DEN, MIN"
00-0026196,B.Brohm,BUF
00-0029429,B.Brown,"BUF, PHI, SEA"
00-0032844,B.Burks,NYJ
00-0024289,B.Calhoun,DET
00-0002970,B.Christian,ATL
00-0026516,B.Colquitt,"DEN, MIN"
00-0003395,B.Conway,WAS
00-0031236,B.Cooks,"HOU, LA, NE, NO"
00-0024300,B.Croyle,KC
00-0029795,B.Cunningham,"CHI, LA"
00-0030120,B.Daniels,HOU
00-0036384,B.DiNucci,DAL
00-0023438,B.Edwards,"CLE, NYJ"
00-0036365,B.Edwards,LV
00-0021993,"Be.Johnson, B.Johnson","MIN, NE"
00-0031326,B.Ellington,"DET, HOU, SF"
00-0004888,B.Emanuel,MIA
00-0004915,B.Engram,"CHI, SEA"
00-0005106,B.Favre,"GB, MIN, NYJ"
00-0025612,B.Fields,MIA
00-0031779,B.Finney,PIT
00-0021938,B.Forsey,"CHI, MIA"
00-0030670,B.Fowler,NYG
00-0019644,B.Franks,GB
00-0005592,B.Fricke,DAL
00-0027948,B.Gabbert,"ARI, JAX, SF, TB, TEN"
00-0027282,B.Garland,SF
00-0020417,B.Gay,CLE
00-0026937,B.Gibson,LA
00-0035859,B.Gillikin,NO
00-0019302,B.Gilmore,"ARI, SF"
00-0024408,B.Gradkowski,"CIN, CLE, LV, PIT, TB"
00-0022954,B.Graham,NYJ
00-0025860,B.Green-Ellis,"CIN, NE"
00-0006423,"B. Griese, B.Griese","CHI, DEN, LV, MIA, TB"
00-0006562,B.Gutierrez,SF
00-0006803,B.Hanspard,ATL
00-0027077,B.Hartline,MIA
00-0032298,B.Hill,"ARI, JAX"
00-0033567,B.Hill,"ATL, CIN"
00-0007530,B.Hobert,NO
00-0019100,B.Hoover,CAR
00-0034449,"B.Howell, G.Howell","HOU, LA"
00-0026625,B.Hoyer,"ARI, CHI, CLE, HOU, IND, NE, SF"
00-0007832,B.Hoying,LV
00-0007834,B.Huard,"IND, SEA"
00-0031589,B.Hundley,"ARI, GB"
00-0025450,B.Jackson,"CLE, GB"
00-0023545,B.Jacobs,"NYG, SF"
00-0019548,B.Jennings,SF
00-0008442,B.Johnson,"DAL, MIN, TB, WAS"
00-0019172,B.Johnson,"CHI, WAS"
00-0022156,"B.Johnson, Bry.Johnson","ARI, HOU"
00-0020715,B.Jones,NYG
00-0023531,B.Jones,TEN
00-0025825,B.Kern,TEN
00-0027681,B.LaFell,"CAR, CIN, NE"
00-0019084,B.LaFleur,SF
00-0022177,B.Leftwich,"ATL, JAX, PIT, TB"
00-0025439,B.Leonard,"CIN, LA, TB"
00-0019194,B.Liddiard,MIN
00-0022097,B.Lloyd,"DEN, LA"
00-0036313,B.Mann,NYJ
00-0020342,B.Manumaleuna,"LA, LAC"
00-0031818,B.Marquez,LA
00-0024334,B.Marshall,"CHI, DEN, MIA"
00-0032964,B.Marshall,"PHI, WAS"
