passer_id,passer,posteam
00-0030789,A.Andrews,TEN
00-0023459,"Aa.Rodgers, A.Rodgers",GB
00-0022064,A.Battle,SF
00-0034959,A.Beck,DEN
00-0022084,A.Boldin,"ARI, BAL, SF"
00-0001823,A.Brooks,"LV, NO"
00-0027793,A.Brown,PIT
00-0035676,A.Brown,TEN
00-0019794,A.Cason,DAL
00-0027973,A.Dalton,"CHI, CIN, DAL"
00-0028957,A.Davis,"CLE, LA"
00-0022883,A.Echemandu,CLE
00-0027692,A.Edwards,CAR
00-0032543,A.Erickson,CIN
00-0020305,A.Feeley,"LA, MIA, PHI"
00-0026796,A.Foster,HOU
00-0006305,A.Green,GB
00-0006627,A.Hakim,"DET, LA"
00-0032009,A.Humphries,TEN
00-0033906,A.Kamara,NO
00-0022824,A.Lee,"ARI, SF"
00-0029668,A.Luck,IND
00-0031288,A.McCarron,"CIN, HOU, LV"
00-0034353,A.Miller,CHI
00-0032406,A.Morrison,IND
00-0021306,A.Peterson,CHI
00-0025488,A.Podlesh,CHI
00-0021190,A.Randle El,"PIT, WAS"
00-0030550,A.Sanders,JAX
00-0015082,A.Smith,CIN
00-0023436,A.Smith,"KC, SF, WAS"
00-0029623,A.Tanney,"NYG, TEN"
00-0016838,A.Van Pelt,BUF
00-0016919,A.Vinatieri,NE
00-0023504,A.Walter,LV
00-0030669,A.Wilson,MIA
00-0018272,A.Wright,"BAL, CIN, DAL, NYG"
00-0032434,B.Allen,"CIN, DEN"
00-0029692,B.Anger,"DAL, JAX, TB"
00-0027618,B.Banks,WAS
00-0000754,B.Barker,WAS
00-0023859,B.Basanez,CAR
00-0023158,B.Berlin,LA
00-0022026,B.Bollinger,"DAL, MIN, NYJ"
00-0031407,B.Bortles,"JAX, LA"
00-0001611,B.Boyer,CLE
00-0001785,B.Brister,"DEN, MIN"
00-0026196,B.Brohm,BUF
00-0026516,B.Colquitt,"DEN, MIN"
00-0003395,B.Conway,WAS
00-0024300,B.Croyle,KC
00-0030120,B.Daniels,HOU
00-0036384,B.DiNucci,DAL
00-0023438,B.Edwards,NYJ
00-0031326,B.Ellington,DET
00-0005106,B.Favre,"GB, MIN, NYJ"
