receiver_id,receiver,posteam
00-0032104,A.Abdullah,"CAR, DET, MIN"
00-0000003,A.al-Jabbar,"CLE, MIA"
00-0028163,A.Allen,BAL
00-0028565,A.Allen,CHI
00-0025533,A.Allison,MIN
00-0030789,A.Andrews,TEN
00-0033296,A.Armah,"CAR, NO"
00-0026465,A.Armstrong,"MIA, WAS"
00-0023459,"Aa.Rodgers, A.Rodgers",GB
00-0026377,A.Arrington,NO
00-0033421,A.Auclair,"HOU, TB"
00-0020361,A.Bannister,SEA
00-0022064,A.Battle,"PIT, SF"
00-0019457,A.Becht,"ARI, KC, LA, NYJ, TB"
00-0034959,A.Beck,DEN
00-0027654,A.Benn,"JAX, TB"
00-0023217,A.Bergen,ARI
00-0028400,A.Binns,"CIN, MIA"
00-0019547,A.Black,"BUF, HOU"
00-0029050,A.Blake,PIT
00-0031075,A.Blue,HOU
00-0022084,A.Boldin,"ARI, BAL, DET, SF"
00-0025637,A.Bradshaw,"IND, NYG"
00-0036171,A.Brewer,TEN
00-0020520,A.Bright,CAR
00-0001823,A.Brooks,NO
00-0027094,A.Brown,NYG
00-0027129,A.Brown,DET
00-0027793,A.Brown,"NE, PIT, TB"
00-0035676,A.Brown,TEN
00-0021191,A.Bryant,"CLE, DAL, SF, TB"
00-0032441,A.Burbridge,SF
00-0026237,A.Caldwell,"CIN, DEN"
00-0034772,A.Callaway,"CLE, MIA"
00-0033382,A.Carr,NO
00-0002713,"A.Carter, T.Carter","DEN, GB, NE"
00-0019794,A.Cason,"DAL, DET, LA"
00-0027960,A.Castonzo,IND
00-0019997,A.Chatman,"CIN, GB"
00-0030832,A.Cleveland,"NE, SF"
00-0021528,A.Cobourne,DET
00-0027092,A.Collie,"IND, NE"
00-0032426,A.Collins,"BAL, SEA"
00-0003378,A.Connell,"NO, WAS"
00-0003441,A.Cooper,DEN
00-0031544,A.Cooper,"DAL, LV"
00-0003610,A.Craver,NO
00-0024234,A.Cromartie,NYJ
00-0032745,A.Cross,TB
00-0020285,A.Crumpler,"ATL, NE, TEN"
00-0027973,A.Dalton,"CIN, DAL"
00-0033937,A.Darboh,SEA
00-0021175,A.Davis,"BUF, CLE, HOU, NE"
00-0004200,A.Denson,MIA
00-0031609,A.Derby,"DEN, MIA"
00-0036265,A.Dillon,GB
00-0027772,A.Dixon,"BUF, SF"
00-0030540,A.Dobson,NE
00-0035021,A.Dulin,IND
00-0022883,"A.Echemandu, J.Echemandu","CLE, HOU"
00-0027692,A.Edwards,"CAR, CLE"
00-0033699,A.Ekeler,LAC
00-0030287,A.Ellington,"ARI, HOU"
00-0032864,A.Ellis,JAX
00-0032543,A.Erickson,"CAR, CIN"
00-0024268,A.Fasano,"DAL, KC, MIA, TEN"
00-0033455,A.Firkser,TEN
00-0026796,A.Foster,"HOU, MIA"
00-0005562,A.Freeman,"GB, PHI"
00-0036340,A.Gandy-Golden,WAS
00-0026929,A.Gardner,HOU
00-0021547,A.Gates,LAC
00-0036328,A.Gibson,WAS
00-0006047,A.Glover,"MIN, NO"
00-0025419,A.Gonzalez,IND
00-0006305,A.Green,"GB, HOU, SEA"
00-0027942,A.Green,"ARI, CIN"
00-0028034,A.Green,"GB, NYJ"
00-0006627,A.Hakim,"DET, LA, NO"
00-0023764,A.Hall,DEN
00-0024489,A.Hall,TEN
00-0023051,A.Halterman,MIA
00-0006877,A.Harper,DAL
00-0021121,A.Harris,HOU
00-0021750,A.Harris,"DET, LA"
00-0031830,A.Harris,GB
00-0007093,A.Hastings,NO
00-0027918,A.Hawkins,"CIN, CLE"
00-0023714,A.Haynes,CAR
00-0027713,A.Hernandez,NE
00-0026908,A.Hill,"HOU, IND"
00-0035104,A.Hollins,MIN
00-0023163,A.Holmes,MIA
00-0028263,A.Holmes,"BUF, DAL, DEN, LV"
00-0035632,A.Hooker,TEN
00-0032392,A.Hooper,"ATL, CLE"
00-0032009,A.Humphries,"TB, TEN, WAS"
00-0031743,A.Hunt,"HOU, KC"
00-0030821,A.Hurns,"DAL, JAX, MIA"
00-0035125,A.Ingold,LV
00-0035527,A.Isabella,ARI
00-0020018,A.Jackson,ARI
00-0033878,A.Jackson,TEN
00-0032956,A.Janovich,"CLE, DEN"
00-0029137,A.Jeffery,"CHI, PHI"
00-0029654,A.Jenkins,"KC, SF"
00-0024398,A.Jennings,ATL
00-0008430,A.Johnson,"CAR, JAX"
00-0022044,A.Johnson,"HOU, IND, TEN"
00-0029729,A.Johnson,NO
00-0023441,A.Jones,TEN
00-0032707,A.Jones,DET
00-0033293,A.Jones,GB
00-0008903,A.Jordan,MIN
00-0033906,A.Kamara,NO
00-0036000,A.Killins,PHI
00-0020415,A.King,CLE
00-0034521,A.Lazard,GB
00-0009738,A.Lee,"LA, PHI"
00-0021152,A.Lelie,"ATL, DEN, LV, SF"
00-0032407,A.Lewis,BAL
00-0027346,"Alf.Smith, A.Smith","ARI, SF"
00-0023506,"Al.Smith, A.Smith","CIN, CLE, PHI, TB, WAS"
00-0029668,A.Luck,IND
00-0026997,A.Mack,CLE
00-0035869,A.Mack,NYG
00-0021921,A.Madise,DEN
00-0034972,A.Mattison,MIN
00-0010598,A.Mayes,CHI
00-0027783,A.McCoy,SEA
00-0010762,A.McCullough,ARI
00-0036336,A.McFarland,PIT
00-0019510,A.Merritt,CHI
00-0034353,A.Miller,"CHI, HOU, PIT"
00-0011390,A.Mitchell,BAL
00-0023928,A.Mix,NYG
00-0021780,A.Moorehead,IND
00-0029141,A.Morris,"DAL, NYG, SF, WAS"
